cust_id,loan_value,salary,late_cnt,missed_inst,dpd,arrears_flag
SYN-0,797777.0,128893.0,3,0,0.0,0
SYN-1,794469.0,45762.0,0,1,10.0,0
SYN-2,663139.0,34033.0,3,0,26.0,1
SYN-3,863359.0,77894.0,1,0,12.0,0
SYN-4,201834.0,58779.0,3,0,8.0,0
SYN-5,857789.0,178299.0,1,0,0.0,0
SYN-6,104563.0,75449.0,0,0,31.0,0
SYN-7,522279.0,63310.0,3,0,0.0,0
SYN-8,126667.0,59515.0,3,0,1.0,0
SYN-9,532801.0,86078.0,1,0,17.0,0
SYN-10,381593.0,120877.0,0,2,0.0,0
SYN-11,119368.0,147292.0,3,2,25.0,0
SYN-12,600899.0,84686.0,1,2,17.0,1
SYN-13,671518.0,123896.0,0,0,21.0,1
SYN-14,198058.0,102309.0,0,0,17.0,0
SYN-15,640271.0,156974.0,1,0,8.0,0
SYN-16,202190.0,115356.0,3,0,0.0,0
SYN-17,166787.0,73484.0,2,0,8.0,0
SYN-18,175259.0,135538.0,1,0,0.0,1
SYN-19,559217.0,153010.0,1,0,16.0,0
SYN-20,711972.0,99816.0,0,0,20.0,0
SYN-21,557360.0,178080.0,0,0,28.0,0
SYN-22,737949.0,161865.0,4,1,14.0,0
SYN-23,552756.0,59543.0,1,0,21.0,0
SYN-24,727723.0,148013.0,0,1,6.0,0
SYN-25,880044.0,120143.0,2,0,4.0,0
SYN-26,382316.0,110222.0,3,0,16.0,0
SYN-27,177451.0,107091.0,1,0,5.0,0
SYN-28,165087.0,158012.0,1,0,13.0,0
SYN-29,557856.0,121631.0,2,0,0.0,0
SYN-30,515038.0,110656.0,0,0,0.0,0
SYN-31,206600.0,37329.0,1,0,18.0,0
SYN-32,799789.0,97245.0,3,0,21.0,0
SYN-33,863236.0,166206.0,2,0,0.0,0
SYN-34,265233.0,136761.0,0,1,18.0,0
SYN-35,225850.0,37643.0,0,0,4.0,0
SYN-36,231834.0,162599.0,2,0,10.0,1
SYN-37,379308.0,154000.0,1,0,27.0,0
SYN-38,775243.0,112003.0,2,0,20.0,0
SYN-39,556567.0,33361.0,1,0,20.0,0
SYN-40,107420.0,114364.0,1,0,33.0,0
SYN-41,452032.0,38188.0,0,1,2.0,0
SYN-42,126782.0,78057.0,3,0,0.0,0
SYN-43,395282.0,124336.0,4,0,1.0,0
SYN-44,392992.0,166937.0,0,0,7.0,0
SYN-45,601100.0,83669.0,2,1,0.0,0
SYN-46,517036.0,159004.0,1,1,8.0,0
SYN-47,793542.0,167754.0,0,2,3.0,0
SYN-48,63834.0,33157.0,3,1,19.0,0
SYN-49,707899.0,65914.0,3,1,14.0,0
SYN-50,69260.0,136479.0,1,0,3.0,0
SYN-51,308646.0,143526.0,1,1,17.0,0
SYN-52,797714.0,88863.0,0,0,19.0,0
SYN-53,636852.0,128513.0,0,0,1.0,0
SYN-54,196197.0,121824.0,1,1,4.0,0
SYN-55,467167.0,140966.0,2,0,0.0,1
SYN-56,663619.0,137799.0,1,0,0.0,1
SYN-57,846742.0,42881.0,3,0,1.0,0
SYN-58,589173.0,53738.0,3,0,11.0,1
SYN-59,70974.0,49909.0,1,1,0.0,0
SYN-60,474747.0,169872.0,1,0,4.0,0
SYN-61,180017.0,167031.0,1,1,0.0,0
SYN-62,90613.0,149612.0,2,0,12.0,0
SYN-63,558734.0,47508.0,1,1,15.0,0
SYN-64,710384.0,116141.0,1,0,15.0,1
SYN-65,80651.0,58085.0,3,1,10.0,1
SYN-66,716051.0,85258.0,1,0,0.0,0
SYN-67,650430.0,70064.0,0,0,3.0,0
SYN-68,689189.0,154340.0,1,0,5.0,1
SYN-69,258019.0,51668.0,2,0,5.0,0
SYN-70,384556.0,126927.0,2,0,11.0,1
SYN-71,151788.0,177584.0,2,1,27.0,0
SYN-72,253057.0,133058.0,0,2,20.0,0
SYN-73,307371.0,41885.0,6,1,0.0,1
SYN-74,321521.0,166177.0,2,0,18.0,0
SYN-75,198784.0,126462.0,1,0,18.0,0
SYN-76,210405.0,98447.0,1,1,0.0,0
SYN-77,816250.0,128954.0,2,1,20.0,1
SYN-78,716310.0,161857.0,1,0,8.0,0
SYN-79,342806.0,101569.0,0,2,0.0,0
SYN-80,855497.0,109698.0,2,0,15.0,1
SYN-81,253084.0,97867.0,3,1,13.0,0
SYN-82,395797.0,40889.0,0,2,7.0,0
SYN-83,741497.0,148061.0,0,1,10.0,0
SYN-84,426453.0,48962.0,1,0,1.0,0
SYN-85,249432.0,89186.0,1,0,17.0,0
SYN-86,363255.0,88023.0,2,0,9.0,0
SYN-87,475613.0,72006.0,0,1,12.0,0
SYN-88,577548.0,90376.0,3,0,14.0,0
SYN-89,394766.0,122701.0,0,1,0.0,0
SYN-90,416609.0,76708.0,2,1,0.0,1
SYN-91,274352.0,55877.0,3,0,0.0,0
SYN-92,505045.0,160405.0,1,0,17.0,0
SYN-93,236538.0,175625.0,2,1,0.0,0
SYN-94,787397.0,98788.0,0,0,12.0,0
SYN-95,685262.0,79053.0,4,0,14.0,0
SYN-96,398737.0,37122.0,2,0,17.0,1
SYN-97,685144.0,35528.0,0,0,0.0,0
SYN-98,55947.0,88932.0,2,1,9.0,0
SYN-99,342816.0,169536.0,3,0,30.0,1
SYN-100,424256.0,139606.0,1,0,31.0,1
SYN-101,449329.0,82390.0,3,0,22.0,0
SYN-102,686422.0,175207.0,1,0,14.0,1
SYN-103,868386.0,94314.0,2,0,0.0,0
SYN-104,372998.0,71519.0,0,1,19.0,0
SYN-105,348010.0,93953.0,1,0,8.0,0
SYN-106,568938.0,61731.0,2,0,17.0,0
SYN-107,289066.0,162846.0,1,1,2.0,0
SYN-108,170148.0,84176.0,1,0,8.0,0
SYN-109,867310.0,128695.0,0,1,12.0,0
SYN-110,738100.0,88357.0,0,0,13.0,0
SYN-111,864725.0,165260.0,0,0,16.0,0
SYN-112,235158.0,126357.0,0,0,3.0,0
SYN-113,65138.0,103238.0,0,1,0.0,0
SYN-114,421672.0,49821.0,2,1,29.0,1
SYN-115,843568.0,165287.0,1,0,40.0,1
SYN-116,167577.0,112023.0,2,0,15.0,1
SYN-117,149608.0,72758.0,0,0,0.0,0
SYN-118,108610.0,161689.0,1,0,1.0,0
SYN-119,700265.0,38166.0,2,1,16.0,0
SYN-120,718038.0,77112.0,1,1,26.0,0
SYN-121,641070.0,110524.0,0,1,0.0,0
SYN-122,95298.0,80972.0,1,0,9.0,0
SYN-123,664795.0,101510.0,1,1,12.0,0
SYN-124,431334.0,69647.0,7,0,20.0,1
SYN-125,184210.0,49512.0,3,0,6.0,0
SYN-126,300857.0,35528.0,2,1,0.0,1
SYN-127,475975.0,53647.0,0,0,17.0,0
SYN-128,330204.0,172942.0,1,1,23.0,1
SYN-129,874287.0,116310.0,1,1,9.0,0
SYN-130,453530.0,103344.0,1,1,15.0,1
SYN-131,366328.0,87649.0,2,0,4.0,1
SYN-132,622191.0,136263.0,3,0,0.0,0
SYN-133,602963.0,51189.0,4,1,22.0,1
SYN-134,52073.0,71419.0,1,1,15.0,1
SYN-135,575703.0,128385.0,1,0,16.0,0
SYN-136,257204.0,101860.0,2,1,28.0,1
SYN-137,368949.0,145514.0,1,0,0.0,0
SYN-138,650397.0,164566.0,1,0,3.0,0
SYN-139,523778.0,153506.0,1,1,12.0,0
SYN-140,363357.0,57631.0,6,0,3.0,1
SYN-141,192299.0,43721.0,1,0,19.0,0
SYN-142,479660.0,55416.0,1,2,8.0,0
SYN-143,321461.0,147530.0,2,1,0.0,1
SYN-144,825989.0,167075.0,3,1,11.0,1
SYN-145,504195.0,168817.0,2,0,12.0,1
SYN-146,786069.0,74732.0,0,2,21.0,0
SYN-147,381654.0,156051.0,0,0,15.0,0
SYN-148,753322.0,110435.0,2,0,16.0,0
SYN-149,98056.0,153419.0,2,0,14.0,0
SYN-150,303401.0,112255.0,1,1,8.0,1
SYN-151,116450.0,51884.0,1,1,1.0,0
SYN-152,76903.0,41883.0,0,1,13.0,0
SYN-153,831033.0,173583.0,0,1,6.0,0
SYN-154,659338.0,93870.0,2,0,30.0,0
SYN-155,581344.0,82578.0,4,0,26.0,1
SYN-156,502619.0,83445.0,4,0,18.0,0
SYN-157,534121.0,86840.0,2,0,15.0,0
SYN-158,592887.0,171750.0,2,0,9.0,0
SYN-159,752593.0,39406.0,2,1,0.0,0
SYN-160,557355.0,47859.0,1,1,7.0,0
SYN-161,686294.0,148448.0,2,1,11.0,1
SYN-162,288831.0,112411.0,0,0,13.0,0
SYN-163,880247.0,49281.0,3,0,16.0,1
SYN-164,77113.0,35169.0,0,0,21.0,0
SYN-165,378590.0,63635.0,3,0,2.0,0
SYN-166,799742.0,69122.0,1,0,2.0,0
SYN-167,203445.0,32132.0,1,0,27.0,0
SYN-168,170137.0,62414.0,1,0,19.0,0
SYN-169,360616.0,140748.0,2,1,5.0,0
SYN-170,413965.0,158315.0,0,0,9.0,0
SYN-171,843385.0,164735.0,0,0,9.0,0
SYN-172,760702.0,88487.0,2,0,10.0,0
SYN-173,444476.0,77912.0,1,0,16.0,0
SYN-174,877029.0,179979.0,5,0,40.0,1
SYN-175,595937.0,145401.0,0,0,12.0,0
SYN-176,792610.0,110603.0,0,0,18.0,0
SYN-177,259148.0,68216.0,3,0,0.0,0
SYN-178,465619.0,78196.0,0,1,4.0,0
SYN-179,75260.0,107305.0,1,0,25.0,0
SYN-180,57548.0,111312.0,1,0,15.0,0
SYN-181,649635.0,32052.0,2,0,0.0,0
SYN-182,150550.0,173910.0,1,0,18.0,0
SYN-183,515637.0,116341.0,2,0,33.0,1
SYN-184,641606.0,118374.0,0,1,0.0,1
SYN-185,77399.0,61721.0,0,0,28.0,0
SYN-186,431430.0,144748.0,4,1,0.0,1
SYN-187,631529.0,140590.0,0,0,21.0,0
SYN-188,806271.0,44274.0,2,0,10.0,1
SYN-189,304346.0,119249.0,3,0,0.0,0
SYN-190,878084.0,128729.0,1,0,15.0,0
SYN-191,767860.0,155335.0,1,0,24.0,0
SYN-192,603040.0,60914.0,0,2,14.0,0
SYN-193,383137.0,161645.0,1,1,17.0,0
SYN-194,654444.0,99222.0,2,2,5.0,0
SYN-195,743764.0,44479.0,1,0,0.0,0
SYN-196,307805.0,45843.0,0,1,18.0,0
SYN-197,893906.0,59671.0,1,0,31.0,0
SYN-198,822326.0,72413.0,0,0,24.0,1
SYN-199,462676.0,104461.0,1,2,0.0,0
SYN-200,664405.0,142313.0,1,1,0.0,0
SYN-201,495408.0,58009.0,3,1,0.0,1
SYN-202,696791.0,178898.0,2,1,0.0,0
SYN-203,752935.0,54228.0,2,0,11.0,0
SYN-204,69739.0,119907.0,4,1,15.0,0
SYN-205,117262.0,169341.0,2,0,0.0,0
SYN-206,335997.0,154876.0,2,1,19.0,0
SYN-207,829972.0,127183.0,0,1,17.0,0
SYN-208,388533.0,137324.0,1,0,3.0,1
SYN-209,804385.0,50131.0,1,0,8.0,0
SYN-210,443069.0,31449.0,0,0,0.0,0
SYN-211,295525.0,95122.0,2,0,6.0,0
SYN-212,815548.0,43428.0,3,0,10.0,1
SYN-213,526570.0,83663.0,1,1,12.0,1
SYN-214,356412.0,63561.0,4,0,15.0,1
SYN-215,87746.0,167452.0,2,1,13.0,0
SYN-216,144293.0,162008.0,1,0,7.0,0
SYN-217,168414.0,152841.0,0,0,13.0,0
SYN-218,360111.0,137092.0,1,0,22.0,0
SYN-219,566233.0,53111.0,0,1,9.0,1
SYN-220,311452.0,37255.0,5,0,14.0,1
SYN-221,105698.0,128083.0,1,0,8.0,0
SYN-222,275087.0,126339.0,0,0,2.0,0
SYN-223,397379.0,85414.0,2,1,16.0,1
SYN-224,893429.0,100903.0,0,0,3.0,0
SYN-225,384039.0,103372.0,0,1,15.0,0
SYN-226,125816.0,65989.0,1,1,10.0,0
SYN-227,543948.0,77125.0,1,1,6.0,0
SYN-228,831694.0,92758.0,2,0,6.0,1
SYN-229,718691.0,120477.0,0,0,4.0,0
SYN-230,760786.0,173373.0,1,0,0.0,0
SYN-231,838997.0,110773.0,3,0,15.0,0
SYN-232,591062.0,139675.0,0,1,13.0,0
SYN-233,895684.0,151050.0,1,0,20.0,0
SYN-234,78289.0,47026.0,2,0,4.0,0
SYN-235,759614.0,127969.0,4,0,33.0,1
SYN-236,778459.0,102317.0,2,0,5.0,0
SYN-237,829195.0,115865.0,1,0,0.0,0
SYN-238,456444.0,35763.0,3,1,0.0,1
SYN-239,719593.0,165932.0,1,0,0.0,0
SYN-240,215818.0,172918.0,0,2,28.0,0
SYN-241,562661.0,30522.0,2,1,26.0,0
SYN-242,354848.0,61919.0,1,0,17.0,0
