cust_id,loan_value,salary,late_cnt,missed_inst,dpd
SYN-0,797777.0,128893.0,3,0,0.0
SYN-1,794469.0,45762.0,0,1,10.0
SYN-2,663139.0,34033.0,3,0,26.0
SYN-3,863359.0,77894.0,1,0,12.0
SYN-4,201834.0,58779.0,3,0,8.0
SYN-5,857789.0,178299.0,1,0,0.0
SYN-6,104563.0,75449.0,0,0,31.0
SYN-7,522279.0,63310.0,3,0,0.0
SYN-8,126667.0,59515.0,3,0,1.0
SYN-9,532801.0,86078.0,1,0,17.0
SYN-10,381593.0,120877.0,0,2,0.0
SYN-11,119368.0,147292.0,3,2,25.0
SYN-12,600899.0,84686.0,1,2,17.0
SYN-13,671518.0,123896.0,0,0,21.0
SYN-14,198058.0,102309.0,0,0,17.0
SYN-15,640271.0,156974.0,1,0,8.0
SYN-16,202190.0,115356.0,3,0,0.0
SYN-17,166787.0,73484.0,2,0,8.0
SYN-18,175259.0,135538.0,1,0,0.0
SYN-19,559217.0,153010.0,1,0,16.0
SYN-20,711972.0,99816.0,0,0,20.0
SYN-21,557360.0,178080.0,0,0,28.0
SYN-22,737949.0,161865.0,4,1,14.0
SYN-23,552756.0,59543.0,1,0,21.0
SYN-24,727723.0,148013.0,0,1,6.0
SYN-25,880044.0,120143.0,2,0,4.0
SYN-26,382316.0,110222.0,3,0,16.0
SYN-27,177451.0,107091.0,1,0,5.0
SYN-28,165087.0,158012.0,1,0,13.0
SYN-29,557856.0,121631.0,2,0,0.0
SYN-30,515038.0,110656.0,0,0,0.0
SYN-31,206600.0,37329.0,1,0,18.0
SYN-32,799789.0,97245.0,3,0,21.0
SYN-33,863236.0,166206.0,2,0,0.0
SYN-34,265233.0,136761.0,0,1,18.0
SYN-35,225850.0,37643.0,0,0,4.0
SYN-36,231834.0,162599.0,2,0,10.0
SYN-37,379308.0,154000.0,1,0,27.0
SYN-38,775243.0,112003.0,2,0,20.0
SYN-39,556567.0,33361.0,1,0,20.0
SYN-40,107420.0,114364.0,1,0,33.0
SYN-41,452032.0,38188.0,0,1,2.0
SYN-42,126782.0,78057.0,3,0,0.0
SYN-43,395282.0,124336.0,4,0,1.0
SYN-44,392992.0,166937.0,0,0,7.0
SYN-45,601100.0,83669.0,2,1,0.0
SYN-46,517036.0,159004.0,1,1,8.0
SYN-47,793542.0,167754.0,0,2,3.0
SYN-48,63834.0,33157.0,3,1,19.0
SYN-49,707899.0,65914.0,3,1,14.0
SYN-50,69260.0,136479.0,1,0,3.0
SYN-51,308646.0,143526.0,1,1,17.0
SYN-52,797714.0,88863.0,0,0,19.0
SYN-53,636852.0,128513.0,0,0,1.0
SYN-54,196197.0,121824.0,1,1,4.0
SYN-55,467167.0,140966.0,2,0,0.0
SYN-56,663619.0,137799.0,1,0,0.0
SYN-57,846742.0,42881.0,3,0,1.0
SYN-58,589173.0,53738.0,3,0,11.0
SYN-59,70974.0,49909.0,1,1,0.0
SYN-60,474747.0,169872.0,1,0,4.0
SYN-61,180017.0,167031.0,1,1,0.0
SYN-62,90613.0,149612.0,2,0,12.0
SYN-63,558734.0,47508.0,1,1,15.0
SYN-64,710384.0,116141.0,1,0,15.0
SYN-65,80651.0,58085.0,3,1,10.0
SYN-66,716051.0,85258.0,1,0,0.0
SYN-67,650430.0,70064.0,0,0,3.0
SYN-68,689189.0,154340.0,1,0,5.0
SYN-69,258019.0,51668.0,2,0,5.0
SYN-70,384556.0,126927.0,2,0,11.0
SYN-71,151788.0,177584.0,2,1,27.0
SYN-72,253057.0,133058.0,0,2,20.0
SYN-73,307371.0,41885.0,6,1,0.0
SYN-74,321521.0,166177.0,2,0,18.0
SYN-75,198784.0,126462.0,1,0,18.0
SYN-76,210405.0,98447.0,1,1,0.0
SYN-77,816250.0,128954.0,2,1,20.0
SYN-78,716310.0,161857.0,1,0,8.0
SYN-79,342806.0,101569.0,0,2,0.0
SYN-80,855497.0,109698.0,2,0,15.0
SYN-81,253084.0,97867.0,3,1,13.0
SYN-82,395797.0,40889.0,0,2,7.0
SYN-83,741497.0,148061.0,0,1,10.0
SYN-84,426453.0,48962.0,1,0,1.0
SYN-85,249432.0,89186.0,1,0,17.0
SYN-86,363255.0,88023.0,2,0,9.0
SYN-87,475613.0,72006.0,0,1,12.0
SYN-88,577548.0,90376.0,3,0,14.0
SYN-89,394766.0,122701.0,0,1,0.0
SYN-90,416609.0,76708.0,2,1,0.0
SYN-91,274352.0,55877.0,3,0,0.0
SYN-92,505045.0,160405.0,1,0,17.0
SYN-93,236538.0,175625.0,2,1,0.0
SYN-94,787397.0,98788.0,0,0,12.0
SYN-95,685262.0,79053.0,4,0,14.0
SYN-96,398737.0,37122.0,2,0,17.0
SYN-97,685144.0,35528.0,0,0,0.0
SYN-98,55947.0,88932.0,2,1,9.0
SYN-99,342816.0,169536.0,3,0,30.0
